artist_name,total_plays,total_minutes,skip_rate,loyalty_score
(((()))),30,20.439883333333334,0.26666666666666666,22.0
10CM,2,6.719833333333334,0.0,2.0
24kGoldn,101,206.0301,0.0891089108910891,92.0
5 Seconds of Summer,100,273.01918333333333,0.21,79.0
6LACK,2,4.452449999999999,0.5,1.0
6arelyhuman,1,0.5400666666666667,1.0,0.0
6ix9ine,5,1.1879166666666665,1.0,0.0
@fallacy,2,3.9588166666666664,0.5,1.0
A.R. Rahman,673,1610.3081,0.5200594353640416,323.0
AA Records,3,7.226016666666666,0.3333333333333333,2.0
ADK,1,0.35225,1.0,0.0
AKMU,1,0.2361333333333333,1.0,0.0
AMARIA BB,22,44.34681666666667,0.3181818181818182,15.000000000000002
AP Dhillon,7,7.755933333333333,0.42857142857142855,4.0
ATEEZ,476,1059.1336,0.34243697478991597,313.0
ATLXS,15,28.926016666666666,0.06666666666666667,14.0
AUR,40,76.64256666666667,0.625,15.0
AURORA,29,69.2707,0.41379310344827586,17.0
AViVA,85,207.26125,0.25882352941176473,63.0
Aalaap Raju,76,298.5170333333333,0.34210526315789475,50.0
Aanchal Tyagi,28,53.84231666666667,0.4642857142857143,15.0
Aashir Wajahat,28,66.0943,0.10714285714285714,25.0
Aastha Gill,35,57.666199999999996,0.6285714285714286,13.0
Abe Parker,1,2.8664,0.0,1.0
Abeer Arora,1,1.5821333333333334,0.0,1.0
Achu,30,94.33786666666667,0.3,21.0
Adele,3,1.9923666666666666,0.6666666666666666,1.0
Aditi Paul,34,78.67646666666667,0.6470588235294118,11.999999999999998
Aditya Rikhari,56,63.59996666666666,0.21428571428571427,44.0
Adnan Sami,34,121.56203333333333,0.35294117647058826,21.999999999999996
Advait,40,83.27658333333333,0.25,30.0
Aether,2,4.5886,0.0,2.0
Ahbar Muzani,1,1.8272,0.0,1.0
Ajay-Atul,29,72.61765,0.5862068965517241,12.000000000000002
Aji Studio,2,1.0962833333333335,0.0,2.0
Akash pal,1,0.3615833333333333,1.0,0.0
Akhil,1,3.7083333333333335,0.0,1.0
Akon,48,87.37451666666666,0.625,18.0
Akshath,1,2.85105,0.0,1.0
Akull,4,12.00715,0.0,4.0
Alaina Castillo,31,74.8755,0.41935483870967744,17.999999999999996
Alan Walker,26,37.38506666666667,0.5769230769230769,11.000000000000002
Alec Benjamin,246,601.2952666666666,0.25203252032520324,184.00000000000003
Alessia Cara,20,25.836116666666666,0.4,12.0
Alex & Sierra,26,34.439033333333334,0.38461538461538464,16.0
Alex Lustig,8,9.801666666666668,0.5,4.0
Alex Warren,2,2.786783333333333,0.5,1.0
Alina Baraz,1,3.6648,0.0,1.0
Alka Yagnik,3,4.195666666666666,0.6666666666666666,1.0
Alonzo,4,7.954466666666666,0.75,1.0
Alphonse,2,5.915783333333334,1.0,0.0
Amit Sharma,1,0.1707666666666666,1.0,0.0
Amit Trivedi,160,395.5484333333333,0.48125,83.0
Ana Rehman,4,5.49395,1.0,0.0
